ID,name,location,type,adname,address,X,Y
456,联盛真空电镀厂,"116.802378,23.541445",公司企业;公司;冶金化工,澄海区,水南路口公路西侧,116.802378,23.541445
457,珠海市中艺坊家俱厂,"116.830039,23.563705",公司企业;公司;冶金化工,澄海区,东里镇新陇樟西路金桐焑茶酒对面,116.830039,23.563705
458,汕头市恒信转印材料厂,"116.822395,23.535288",公司企业;公司;冶金化工,澄海区,凤东路,116.822395,23.535288
459,晶鑫五金塑料厂,"116.820278,23.532953",公司企业;公司;冶金化工,澄海区,溪南镇银东工业区凤东三路东侧,116.820278,23.532953
460,隆兴泡沫厂,"116.807087,23.577094",公司企业;公司;冶金化工,澄海区,东铁路璞玉幼儿园东北侧约100米,116.807087,23.577094
461,毅扬家用电器厂,"116.821909,23.574867",公司企业;公司;冶金化工,澄海区,樟西路21号,116.821909,23.574867
462,猛跃五金制品厂,"116.821334,23.574620",公司企业;公司;冶金化工,澄海区,樟西路树础幼儿园西侧约210米,116.821334,23.57462
463,龙彬激光切割厂,"116.736949,23.569374",公司企业;公司;冶金化工,澄海区,G15(沈海高速),116.736949,23.569374
464,狮山钢结构厂,"116.813410,23.552553",公司企业;公司;冶金化工,澄海区,福昆线与联青路交叉路口往北约270米,116.81341,23.552553
465,溪南旧粮厂,"116.813581,23.553415",公司企业;公司;冶金化工,澄海区,溪南大新狮山4号,116.813581,23.553415
466,凤凰乌岽天泉酒厂,"116.836582,23.579498",公司企业;公司;冶金化工,澄海区,,116.836582,23.579498
467,满盛食品厂,"116.784188,23.570512",公司企业;公司;冶金化工,澄海区,隆都镇东山村木莉片,116.784188,23.570512
468,腾达美服装厂,"116.814308,23.551018",公司企业;公司;冶金化工,澄海区,溪南镇南砂乡联青路北15巷2号,116.814308,23.551018
469,皇涛五金塑料制品厂,"116.824083,23.581875",公司企业;公司;冶金化工,澄海区,539国道与樟西路交叉口北400米,116.824083,23.581875
470,沛丰注塑厂,"116.783973,23.563799",公司企业;公司;冶金化工,澄海区,055县道南50米,116.783973,23.563799
471,东里先锋五金厂,"116.817117,23.569936",公司企业;公司;冶金化工,澄海区,东里镇塘西工业区南片区14号,116.817117,23.569936
472,立超食品厂,"116.785726,23.569206",公司企业;公司;冶金化工,澄海区,隆都镇东山村,116.785726,23.569206
473,迪鸿泡沫厂,"116.853684,23.590558",公司企业;公司;冶金化工,澄海区,鸿四大道,116.853684,23.590558
474,海帆五金塑料制品厂,"116.835089,23.563162",公司企业;公司;冶金化工,澄海区,东里镇南社月丁元工业区三区3号,116.835089,23.563162
475,新佳工艺厂,"116.835705,23.577473",公司企业;公司;冶金化工,澄海区,G324(福昆线),116.835705,23.577473
476,529五金制品厂,"116.842352,23.582737",公司企业;公司;冶金化工,澄海区,福昆线,116.842352,23.582737
477,颜彩塑胶颜料色母厂,"116.796605,23.578219",公司企业;公司;冶金化工,澄海区,汕头市澄海区莲华镇东铁路中段(莲华中学旁),116.796605,23.578219
478,嘉耐特五金塑料制品厂,"116.832705,23.562959",公司企业;公司;冶金化工,澄海区,东里镇南社村月丁元工业区第一区18号,116.832705,23.562959
479,汕头市华联化工有限公司,"116.749453,23.459219",公司企业;公司;冶金化工,澄海区,下窖五里亭工业区,116.749453,23.459219
