,name,location,type,adname,address,X,Y
142,嘉正隆纺织染厂办事处,"116.749046,23.434349",gongchang,龙湖区,汕汾路壳牌(金新加油站)东北侧约60米,116.749046,23.434349
143,曼依纯服饰厂,"116.781205,23.431391",gongchang,龙湖区,外砂街道仁和里,116.781205,23.431391
144,浩铭毛织厂,"116.753157,23.430691",gongchang,龙湖区,外砂镇迎宾南路爱华B区对面三楼,116.753157,23.430691
145,祥日帐篷厂,"116.784233,23.431543",gongchang,龙湖区,外砂镇662乡道仁和村汕北大道下,116.784233,23.431543
146,相益毛衫厂,"116.744778,23.437585",gongchang,龙湖区,洪福路与外砂迎宾路交叉口南220米,116.744778,23.437585
147,汕头市万集石业有限公司,"116.744038,23.394410",gongchang,龙湖区,新津街道桂和街7巷20号101铺面,116.744038,23.39441
148,轩辉毛织厂,"116.789362,23.400291",gongchang,龙湖区,新溪镇六合村合兴路南17巷8号,116.789362,23.400291
149,泽丰服饰毛织厂,"116.787167,23.430119",gongchang,龙湖区,外砂镇五香溪村龙尼桥头,116.787167,23.430119
150,麟迪服装羊毛衫厂,"116.761689,23.443035",gongchang,龙湖区,内陇乡麟迪羊毛衫厂,116.761689,23.443035
151,杰盛毛织服装厂,"116.749339,23.440940",gongchang,龙湖区,外砂镇蓬发大道园林路21号,116.749339,23.44094
152,富源电子厂,"116.797414,23.390741",gongchang,龙湖区,大十合附近,116.797414,23.390741
153,外砂五金模具厂,"116.745439,23.438099",gongchang,龙湖区,迎宾北路正顺路8号,116.745439,23.438099
154,致远毛衫厂,"116.762517,23.443751",gongchang,龙湖区,,116.762517,23.443751
155,荣祥制衣厂,"116.721081,23.383004",gongchang,龙湖区,科技东路3号金协大厦二楼,116.721081,23.383004
156,迪尔佳家具厂,"116.710344,23.429365",gongchang,龙湖区,海河路3号,116.710344,23.429365
157,金港泡沫厂(发源路),"116.769997,23.400990",gongchang,龙湖区,新溪镇下头合,116.769997,23.40099
158,新青食品厂,"116.720382,23.441382",gongchang,龙湖区,蔡社南畔工业区,116.720382,23.441382
159,鸿诚食品有限公司,"116.726651,23.439958",gongchang,龙湖区,下蓬镇渔洲街道火车北站站东路(渔洲中学东侧),116.726651,23.439958
160,鸥下工艺厂,"116.711239,23.406771",gongchang,龙湖区,鸥汀街道乐山路与汕樟路交界红灯路口直行二百米左转五十米,116.711239,23.406771
161,汕头市三何电子有限公司,"116.732215,23.390745",gongchang,龙湖区,夏桂埔桂安路8号8楼,116.732215,23.390745
162,新龙毛衫厂,"116.746496,23.433270",gongchang,龙湖区,外砂镇,116.746496,23.43327
163,下蓬桥头酒厂,"116.719619,23.413128",gongchang,龙湖区,鸥汀街道,116.719619,23.413128
164,汕头市银昌食品有限公司,"116.717238,23.377052",gongchang,龙湖区,练江路E4栋厂房202,116.717238,23.377052
165,汕头市德泰纸管厂,"116.717192,23.403039",gongchang,龙湖区,金新北路266号,116.717192,23.403039
166,恒昌制罐厂,"116.755752,23.42753",gongchang,龙湖区,迎宾南路203号附近,116.755752,23.42753
167,亿丽手袋厂,"116.778864,23.385049",gongchang,龙湖区,新溪镇西南下九合1队,116.778864,23.385049
168,广东汕头金石制药总厂,"116.753201,23.365298",gongchang,龙湖区,泰山南路与金泰立交桥交叉口西南120米,116.753201,23.365298
169,华隆玩具厂,"116.751850,23.442601",gongchang,龙湖区,金林路外砂有线电视台内,116.75185,23.442601
170,梓桂纸品厂,"116.722880,23.457347",gongchang,龙湖区,外砂镇大衙村,116.72288,23.457347
171,钟艺彩印厂,"116.750189,23.443958",gongchang,龙湖区,青年路11号,116.750189,23.443958
172,鑫达毛织厂,"116.716591,23.456530",gongchang,龙湖区,外砂街道大衙工业区,116.716591,23.45653
173,汕头龙湖区素舒尔服装厂,"116.780446,23.395911",gongchang,龙湖区,新溪镇八合村文化路东侧,116.780446,23.395911
174,汕头市新航服饰有限公司,"116.750286,23.429785",gongchang,龙湖区,龙华街道葛沟路北侧第15号,116.750286,23.429785
175,依琳格织造厂,"116.751707,23.441138",gongchang,龙湖区,青年路海富花园西侧约140米,116.751707,23.441138
176,天织毛衣厂,"116.748331,23.435781",gongchang,龙湖区,蓬发路光荣工业大厦北侧约90米,116.748331,23.435781
177,绿缘毛衫,"116.745286,23.444510",gongchang,龙湖区,外砂镇金洲工业区青年路,116.745286,23.44451
178,汕头市雅奇毛织有限公司,"116.769079,23.439731",gongchang,龙湖区,662乡道东50米,116.769079,23.439731
179,兴运织造厂,"116.748440,23.439482",gongchang,龙湖区,外砂迎宾路锦骏花园-西区西侧约80米,116.74844,23.439482
180,汕头市龙湖区广胜电子厂,"116.746672,23.375289",gongchang,龙湖区,黄山路黄山大厦,116.746672,23.375289
181,永汉副食品厂,"116.787097,23.398333",gongchang,龙湖区,东直大街附近,116.787097,23.398333
182,粤东机械木箱厂华埠工业区店,"116.739631,23.422667",gongchang,龙湖区,汕樟路中国石化(汕华加油站)西南侧约170米,116.739631,23.422667
183,汕头市华源自动化控制设备成套厂,"116.715831,23.383106",gongchang,龙湖区,华山北路高新技术开发区,116.715831,23.383106
184,汕头市龙湖区阿强服饰厂,"116.734774,23.394135",gongchang,龙湖区,桂顺路18号2楼,116.734774,23.394135
185,汕头市欧侨服饰有限公司,"116.731122,23.388425",gongchang,龙湖区,夏桂埔浦江路20号二楼,116.731122,23.388425
186,和盛文体用品厂,"116.725036,23.379346",gongchang,龙湖区,天山路成德写字楼E座5层,116.725036,23.379346
187,广东瑞德生物科技有限公司,"116.715152,23.425519",gongchang,龙湖区,嵩山北路金洁产业园区c栋,116.715152,23.425519
188,汕头市龙湖区壹曼毛织厂,"116.745212,23.437994",gongchang,龙湖区,龙华街道下蔡村第8号,116.745212,23.437994
189,汕头信乐文具礼品有限公司,"116.761850,23.389957",gongchang,龙湖区,汕头市龙湖区辛厝寮玉山路西12号,116.76185,23.389957
190,汕头市龙湖区锦隆毛织厂,"116.764109,23.443091",gongchang,龙湖区,,116.764109,23.443091
191,汕头市龙湖区大润工艺厂,"116.765145,23.409467",gongchang,龙湖区,新溪街道北中村北兴路,116.765145,23.409467
192,汕头市龙湖区康迪隆食品厂,"116.715855,23.421164",gongchang,龙湖区,嵩山北路汕头水果中心市场西南侧约230米,116.715855,23.421164
193,汕头市龙湖区亿贝玩具厂,"116.762256,23.441662",gongchang,龙湖区,外砂镇李厝村百亩内北怡路77号,116.762256,23.441662
194,汕头市海慧服饰有限公司,"116.746247,23.437109",gongchang,龙湖区,下蔡村下蔡工业区园林路37号3楼之一,116.746247,23.437109
195,汕头市龙湖区博派纸箱厂,"116.708999,23.453280",gongchang,龙湖区,鸥汀街道洋园路旦家园工业区,116.708999,23.45328
196,汕头市龙湖区盈荣毛织厂,"116.762511,23.414531",gongchang,龙湖区,新溪镇北中村南皇,116.762511,23.414531
197,汕头经济特区鮀滨制药厂,"116.757973,23.379061",gongchang,龙湖区,珠津工业区韶山路151号,116.757973,23.379061
198,汕头新寄托五金塑胶制品有限公司,"116.751916,23.398801",gongchang,龙湖区,周厝塭东元南路十横19号2层,116.751916,23.398801
199,富达毛衫公司,"116.744772,23.431743",gongchang,龙湖区,外砂镇龙头工业区,116.744772,23.431743
200,汕头市喜悦健康食品有限公司,"116.736450,23.392064",gongchang,龙湖区,浦江路39号,116.73645,23.392064
201,汕头市金平区莱雪莉制衣厂,"116.732968,23.390467",gongchang,龙湖区,金平区莱雪莉制衣厂,116.732968,23.390467
202,汕头市龙湖区宏再发毛织厂,"116.723552,23.458253",gongchang,龙湖区,外砂镇大衙兴业工业区A栋,116.723552,23.458253
203,汕头市金和枥工贸有限公司,"116.701501,23.419955",gongchang,龙湖区,万吉工业区龙江路与沿江路交汇处工业厂房F1座,116.701501,23.419955
204,汕头市龙湖区鑫宏隆毛织厂,"116.736183,23.450009",gongchang,龙湖区,外砂镇东溪村工业区2巷5号,116.736183,23.450009
205,世家服饰有限公司第一分厂,"116.726755,23.449475",gongchang,龙湖区,外砂迎宾北路南社工业区,116.726755,23.449475
206,汕头市信音电子科技有限公司,"116.721115,23.403349",gongchang,龙湖区,龙盛工业区盛业街6号E幢第2-3层,116.721115,23.403349
207,汕头市耀发钢化玻璃有限公司,"116.759916,23.410247",gongchang,龙湖区,金新路北中交叉路口前面院内,116.759916,23.410247
208,长丰毛织厂,"116.749856,23.434459",gongchang,龙湖区,外砂镇下蔡村和西路8号,116.749856,23.434459
209,汕头市摩高纺织绣品有限公司,"116.717695,23.373294",gongchang,龙湖区,大北山二路3号龙湖工业区4栋4楼,116.717695,23.373294
210,汕头市龙湖区下蓬裕兴食品厂,"116.719992,23.444230",gongchang,龙湖区,蔡社渔津南区2巷5号,116.719992,23.44423
211,汕头市龙湖区强华包装制罐厂,"116.736263,23.371339",gongchang,龙湖区,珠池路36号,116.736263,23.371339
212,汕头市润轩洗涤用品有限公司,"116.717148,23.420916",gongchang,龙湖区,万吉工业区南面、嵩山路东侧,116.717148,23.420916
213,汕头市龙湖区尊尚家具加工厂,"116.715010,23.445664",gongchang,龙湖区,鸥汀街道蔡社北新丰一片巷号,116.71501,23.445664
214,汕头市龙湖区峰诺电子加工厂,"116.757037,23.390643",gongchang,龙湖区,新津街道辛厝寮东龙居委东龙街102,116.757037,23.390643
215,汕头市龙湖区外砂街道凤美工业区雅衣达服饰,"116.750631,23.424250",gongchang,龙湖区,外砂镇凤美工业区机场路中段,116.750631,23.42425
216,汕头市龙湖区外砂建发织造厂,"116.748741,23.433270",gongchang,龙湖区,龙头村国道南侧北畔园,116.748741,23.43327
217,汕头市龙湖区合兴泰米面制品厂,"116.730060,23.386483",gongchang,龙湖区,衡山中街14号,116.73006,23.386483
218,新双鸿纸品厂,"116.752869,23.387482",gongchang,龙湖区,辛厝寮新津路,116.752869,23.387482
219,石益达石业,"116.738281,23.420826",gongchang,龙湖区,062县道附近,116.738281,23.420826
220,城龙输送机厂,"116.738432,23.420970",gongchang,龙湖区,外砂镇华埠工业区,116.738432,23.42097
221,雅园乳品厂,"116.71191,23.445395",gongchang,龙湖区,鸥汀街道蔡社村北边洋园路128号,116.71191,23.445395
222,汕头外砂富新织造厂,"116.727751,23.454570",gongchang,龙湖区,外砂街道富砂北路富新兰园(启萌幼儿园西),116.727751,23.45457
223,汕头市龙湖区东岚毛织品加工厂,"116.761423,23.393239",gongchang,龙湖区,新津街道金港居委金南一南二巷6号,116.761423,23.393239
224,汕头市龙湖区外砂粤大木箱托盘厂,"116.739604,23.422720",gongchang,龙湖区,外砂镇华埠村华埠工业区062县道西50米,116.739604,23.42272
