ID,name,location,type,adname,address,X,Y
2002,婕拉玩具厂,"116.800380,23.455933",公司企业;工厂;工厂,澄海区,凤翔街道凤新三路外埔工业区,116.80038,23.455933
2003,鸿铭玩具厂,"116.775247,23.473320",公司企业;工厂;工厂,澄海区,12巷18号,116.775247,23.47332
2004,霖熙毛织厂,"116.822998,23.423759",公司企业;工厂;工厂,澄海区,岭海路坝头中心小学西南侧,116.822998,23.423759
2005,携业玩具厂,"116.738338,23.483130",公司企业;工厂;工厂,澄海区,X051(澄江路),116.738338,23.48313
2006,恭梓玩具厂,"116.752473,23.484173",公司企业;工厂;工厂,澄海区,广益路尾新池外新区7横巷1号,116.752473,23.484173
2007,澄海创业机械厂,"116.743584,23.490746",公司企业;工厂;工厂,澄海区,龙田大路西8横5号,116.743584,23.490746
2008,赛江塑料厂,"116.773708,23.476261",公司企业;工厂;工厂,澄海区,埔美美新路二十九巷4号,116.773708,23.476261
2009,庆盛电子厂,"116.747713,23.458628",公司企业;工厂;工厂,澄海区,澄华街道下窖窖内工业区中路4号,116.747713,23.458628
2010,乐铄玩具(新厂),"116.780755,23.472874",公司企业;工厂;工厂,澄海区,凤翔街道东湖工业区工业大道西33巷5号,116.780755,23.472874
2011,荣仙艺玩具厂,"116.753906,23.488687",公司企业;工厂;工厂,澄海区,广益街道龙坑居委广峰工业区登峰路南怀汉东,116.753906,23.488687
2012,彩源玩具厂,"116.766556,23.481973",公司企业;工厂;工厂,澄海区,广益街道华富阜安路协润大厦3层1,116.766556,23.481973
2013,广适模具厂,"116.773631,23.476951",公司企业;工厂;工厂,澄海区,广益街道中山北路54号,116.773631,23.476951
2014,澄海区卓洋玩具厂,"116.773560,23.478116",公司企业;工厂;工厂,澄海区,美阳工业区65号,116.77356,23.478116
2015,创扬塑料玩具厂,"116.775473,23.477624",公司企业;工厂;工厂,澄海区,埔美阳工业区2号厂房,116.775473,23.477624
2016,松宝玩具厂,"116.790262,23.453729",公司企业;工厂;工厂,澄海区,凤翔街道昆美新大道东22号,116.790262,23.453729
2017,昊翔塑胶,"116.744402,23.493002",公司企业;工厂;工厂,澄海区,龙仙路龙田工业区十横7号,116.744402,23.493002
2018,金燕毛衫厂,"116.770074,23.447795",公司企业;工厂;工厂,澄海区,澄华街道美埭周园工业区滨江二路,116.770074,23.447795
2019,利诚工艺厂,"116.803754,23.440930",公司企业;工厂;工厂,澄海区,莱美工业区长隆毛织一幢二楼,116.803754,23.44093
2020,澄海区状元娃玩具厂,"116.780469,23.475585",公司企业;工厂;工厂,澄海区,凤翔街道东湖工业区东超大厦7楼,116.780469,23.475585
2021,格美裕气泡袋,"116.742060,23.495366",公司企业;工厂;工厂,澄海区,祥西一巷,116.74206,23.495366
2022,澄信吸塑厂,"116.811413,23.426873",公司企业;工厂;工厂,澄海区,凤翔街道坝头洲畔幼儿园对面20米,116.811413,23.426873
2023,佳盾电子厂,"116.755382,23.460668",公司企业;工厂;工厂,澄海区,玉亭路骑光工业楼佳盾电子厂,116.755382,23.460668
2024,兴晟模具厂,"116.797491,23.462446",公司企业;工厂;工厂,澄海区,莲菏路北七巷3号,116.797491,23.462446
2025,达尔意玩具厂,"116.770350,23.484361",公司企业;工厂;工厂,澄海区,广益街道中山北路老桥头食杂品仓库,116.77035,23.484361
2026,杭州长命电池厂,"116.771228,23.484234",公司企业;工厂;工厂,澄海区,老三桥碧桂园5幢24号,116.771228,23.484234
2027,金禾玩具,"116.778484,23.468141",公司企业;工厂;工厂,澄海区,凤翔街道东湖青春园路19号,116.778484,23.468141
2028,奇志玩具厂,"116.791294,23.456702",公司企业;工厂;工厂,澄海区,信发路联成自编八号四楼,116.791294,23.456702
2029,豪源祥毛织厂,"116.754239,23.460044",公司企业;工厂;工厂,澄海区,泰安路与澄华路交叉路口往北约100米(泰源楼北侧),116.754239,23.460044
2030,铁鑫五金加工厂,"116.788460,23.462204",公司企业;工厂;工厂,澄海区,凤翔街道信宁后张路7号永宁巷交叉口往东50米,116.78846,23.462204
2031,裕鼎毛织,"116.741382,23.469885",公司企业;工厂;工厂,澄海区,玉亭路西三巷8号,116.741382,23.469885
2032,乐迪玩具,"116.748847,23.486206",公司企业;工厂;工厂,澄海区,龙田顶宫路西八横巷2号2楼,116.748847,23.486206
2033,汇隆毛织厂,"116.749814,23.497483",公司企业;工厂;工厂,澄海区,陇后内片一巷8号,116.749814,23.497483
2034,铭佳玩具厂,"116.749853,23.497424",公司企业;工厂;工厂,澄海区,广益街道龙坑居委陇后内片1巷10号,116.749853,23.497424
